,Date,Values
199,2020-01-09,-6.78
200,2020-01-09,-6.78
201,2020-01-09,-6.78
202,2020-01-09,-6.78
203,2020-01-09,-6.78
204,2020-01-09,-6.78
205,2020-01-09,-6.78
206,2020-01-09,-6.78
207,2020-01-09,-6.78
208,2020-01-09,-6.78
209,2020-01-09,-6.78
210,2020-01-09,-6.78
211,2020-01-09,-6.78
212,2020-01-09,-6.78
213,2020-01-09,-6.78
214,2020-01-09,-6.78
215,2020-01-10,-6.78
216,2020-01-10,-6.78
217,2020-01-10,-6.78
218,2020-01-10,-6.78
219,2020-01-10,-6.78
220,2020-01-10,-6.78
221,2020-01-10,-6.78
222,2020-01-10,-6.78
223,2020-01-10,-6.78
224,2020-01-10,-6.78
225,2020-01-10,-6.78
226,2020-01-10,-6.78
227,2020-01-10,-6.78
228,2020-01-10,-6.78
229,2020-01-10,-6.78
230,2020-01-10,-6.78
231,2020-01-10,-6.78
232,2020-01-10,-6.78
233,2020-01-10,-6.78
234,2020-01-10,-6.78
235,2020-01-10,-6.78
236,2020-01-10,-6.78
237,2020-01-10,-6.78
238,2020-01-10,-6.78
239,2020-01-11,-6.78
240,2020-01-11,-6.78
241,2020-01-11,-6.78
242,2020-01-11,-6.78
243,2020-01-11,-6.78
244,2020-01-11,-6.78
245,2020-01-11,-6.78
246,2020-01-11,-6.78
247,2020-01-11,-6.78
248,2020-01-11,-6.78
249,2020-01-11,-6.78
250,2020-01-11,-6.78
251,2020-01-11,-6.78
252,2020-01-11,-6.78
253,2020-01-11,-6.78
254,2020-01-11,-6.78
255,2020-01-11,-6.78
256,2020-01-11,-6.78
257,2020-01-11,-6.78
258,2020-01-11,-6.78
259,2020-01-11,-6.78
260,2020-01-11,-6.78
261,2020-01-11,-6.78
262,2020-01-11,-6.78
263,2020-01-12,-6.78
264,2020-01-12,-6.78
265,2020-01-12,-6.78
266,2020-01-12,-6.78
267,2020-01-12,-6.78
268,2020-01-12,-6.78
269,2020-01-12,-6.78
270,2020-01-12,-6.78
271,2020-01-12,-6.78
272,2020-01-12,-6.78
273,2020-01-12,-6.78
274,2020-01-12,-6.78
275,2020-01-12,-6.78
276,2020-01-12,-6.78
277,2020-01-12,-6.78
278,2020-01-12,-6.78
279,2020-01-12,-6.78
280,2020-01-12,-6.78
281,2020-01-12,-6.75
282,2020-01-12,-6.75
283,2020-01-12,-6.75
284,2020-01-12,-6.75
285,2020-01-12,-6.75
286,2020-01-12,-6.75
287,2020-01-13,-6.75
288,2020-01-13,-6.75
289,2020-01-13,-6.76
290,2020-01-13,-6.76
291,2020-01-13,-6.76
292,2020-01-13,-6.76
293,2020-01-13,-6.76
294,2020-01-13,-6.76
295,2020-01-13,-6.76
296,2020-01-13,-6.76
297,2020-01-13,-6.76
298,2020-01-13,-6.76
299,2020-01-13,-6.76
300,2020-01-13,-6.76
301,2020-01-13,-6.76
302,2020-01-13,-6.76
303,2020-01-13,-6.76
304,2020-01-13,-6.76
305,2020-01-13,-6.76
306,2020-01-13,-6.76
307,2020-01-13,-6.76
308,2020-01-13,-6.76
309,2020-01-13,-6.76
310,2020-01-13,-6.76
311,2020-01-14,-6.76
312,2020-01-14,-6.76
313,2020-01-14,-6.76
314,2020-01-14,-6.76
315,2020-01-14,-6.76
316,2020-01-14,-6.76
317,2020-01-14,-6.76
318,2020-01-14,-6.76
319,2020-01-14,-6.76
320,2020-01-14,-6.76
321,2020-01-14,-6.76
322,2020-01-14,-6.76
323,2020-01-14,-6.76
324,2020-01-14,-6.76
325,2020-01-14,-6.76
326,2020-01-14,-6.76
327,2020-01-14,-6.76
328,2020-01-14,-6.76
329,2020-01-14,-6.76
330,2020-01-14,-6.76
331,2020-01-14,-6.76
332,2020-01-14,-6.76
333,2020-01-14,-6.76
334,2020-01-14,-6.76
335,2020-01-15,-6.76
336,2020-01-15,-6.76
337,2020-01-15,-6.76
338,2020-01-15,-6.76
339,2020-01-15,-6.76
340,2020-01-15,-6.76
341,2020-01-15,-6.76
342,2020-01-15,-6.76
343,2020-01-15,-6.76
344,2020-01-15,-6.76
345,2020-01-15,-6.76
346,2020-01-15,-6.76
347,2020-01-15,-6.76
348,2020-01-15,-6.76
349,2020-01-15,-6.76
350,2020-01-15,-6.76
351,2020-01-15,-6.76
352,2020-01-15,-6.76
353,2020-01-15,-6.76
354,2020-01-15,-6.76
355,2020-01-15,-6.76
356,2020-01-15,-6.76
357,2020-01-15,-6.76
358,2020-01-15,-6.76
359,2020-01-16,-6.76
360,2020-01-16,-6.76
361,2020-01-16,-6.76
362,2020-01-16,-6.76
363,2020-01-16,-6.76
364,2020-01-16,-6.76
365,2020-01-16,-6.76
366,2020-01-16,-6.76
367,2020-01-16,-6.76
368,2020-01-16,-6.76
369,2020-01-16,-6.76
370,2020-01-16,-6.76
371,2020-01-16,-6.76
372,2020-01-16,-6.76
373,2020-01-16,-6.76
374,2020-01-16,-6.76
375,2020-01-16,-6.76
376,2020-01-16,-6.76
377,2020-01-16,-6.76
378,2020-01-16,-6.76
379,2020-01-16,-6.76
380,2020-01-16,-6.76
381,2020-01-16,-6.76
382,2020-01-16,-6.76
383,2020-01-17,-6.76
384,2020-01-17,-6.76
385,2020-01-17,-6.76
386,2020-01-17,-6.76
387,2020-01-17,-6.76
388,2020-01-17,-6.76
389,2020-01-17,-6.76
390,2020-01-17,-6.76
391,2020-01-17,-6.76
392,2020-01-17,-6.76
393,2020-01-17,-6.76
394,2020-01-17,-6.76
395,2020-01-17,-6.76
396,2020-01-17,-6.76
397,2020-01-17,-6.76
398,2020-01-17,-6.76
399,2020-01-17,-6.76
400,2020-01-17,-6.76
401,2020-01-17,-6.76
402,2020-01-17,-6.76
403,2020-01-17,-6.76
404,2020-01-17,-6.76
405,2020-01-17,-6.76
406,2020-01-17,-6.76
407,2020-01-18,-6.76
408,2020-01-18,-6.76
409,2020-01-18,-6.76
410,2020-01-18,-6.76
411,2020-01-18,-6.76
412,2020-01-18,-6.76
413,2020-01-18,-6.76
414,2020-01-18,-6.76
